10:20:11 326	 start loadBaseParameter
10:20:11 732	 start loadBaseParameter
10:20:11 982	 start loadBaseParameter
10:20:12 263	 start loadBaseParameter
10:20:12 529	 start setSN
10:20:12 529	 start setSN
10:20:12 529	 start setSN
10:20:12 529	 start setSN
10:20:12 529	 start loadPinDef
10:20:12 529	 finished loadPinDef
10:20:12 545	 start loadPinDef
10:20:12 545	 finished loadPinDef
10:20:12 545	 start loadPinDef
10:20:12 545	 finished loadPinDef
10:20:12 560	 start loadPinDef
10:20:12 560	 finished loadPinDef
11:32:22 583	 start loadBaseParameter
11:32:22 911	 start loadBaseParameter
11:32:23 161	 start loadBaseParameter
11:32:23 395	 start loadBaseParameter
11:32:23 661	 start setSN
11:32:23 677	 start setSN
11:32:23 677	 start setSN
11:32:23 677	 start setSN
11:32:23 677	 start loadPinDef
11:32:23 677	 finished loadPinDef
11:32:23 692	 start loadPinDef
11:32:23 708	 finished loadPinDef
11:32:23 708	 start loadPinDef
11:32:23 708	 finished loadPinDef
11:32:23 708	 start loadPinDef
11:32:23 708	 finished loadPinDef
13:54:22 635	 start loadBaseParameter
13:54:23 150	 start loadBaseParameter
13:54:23 447	 start loadBaseParameter
13:54:23 744	 start loadBaseParameter
13:54:24 025	 start setSN
13:54:24 041	 start setSN
13:54:24 041	 start setSN
13:54:24 041	 start setSN
13:54:24 041	 start loadPinDef
13:54:24 056	 finished loadPinDef
13:54:24 056	 start loadPinDef
13:54:24 072	 finished loadPinDef
13:54:24 072	 start loadPinDef
13:54:24 072	 finished loadPinDef
13:54:24 088	 start loadPinDef
13:54:24 088	 finished loadPinDef
16:51:53 747	 start loadBaseParameter
16:51:54 200	 start loadBaseParameter
16:51:54 450	 start loadBaseParameter
16:51:54 700	 start loadBaseParameter
16:51:54 950	 start setSN
16:51:54 950	 start setSN
16:51:54 950	 start setSN
16:51:54 950	 start setSN
16:51:54 965	 start loadPinDef
16:51:54 965	 finished loadPinDef
16:51:54 965	 start loadPinDef
16:51:54 981	 finished loadPinDef
16:51:54 981	 start loadPinDef
16:51:54 997	 finished loadPinDef
16:51:54 997	 start loadPinDef
16:51:54 997	 finished loadPinDef
18:06:26 997	 start loadBaseParameter
18:06:27 450	 start loadBaseParameter
18:06:27 700	 start loadBaseParameter
18:06:28 028	 start loadBaseParameter
18:06:28 325	 start setSN
18:06:28 325	 start setSN
18:06:28 341	 start setSN
18:06:28 341	 start setSN
18:06:28 341	 start loadPinDef
18:06:28 356	 finished loadPinDef
18:06:28 356	 start loadPinDef
18:06:28 372	 finished loadPinDef
18:06:28 372	 start loadPinDef
18:06:28 387	 finished loadPinDef
18:06:28 387	 start loadPinDef
18:06:28 403	 finished loadPinDef
18:17:26 251	 start loadBaseParameter
18:17:26 657	 start loadBaseParameter
18:17:26 938	 start loadBaseParameter
18:17:27 235	 start loadBaseParameter
18:17:27 517	 start setSN
18:17:27 532	 start setSN
18:17:27 532	 start setSN
18:17:27 532	 start setSN
18:17:27 532	 start loadPinDef
18:17:27 548	 finished loadPinDef
18:17:27 548	 start loadPinDef
18:17:27 563	 finished loadPinDef
18:17:27 563	 start loadPinDef
18:17:27 579	 finished loadPinDef
18:17:27 579	 start loadPinDef
18:17:27 595	 finished loadPinDef
18:19:39 564	 start loadBaseParameter
18:19:39 970	 start loadBaseParameter
18:19:40 236	 start loadBaseParameter
18:19:40 564	 start loadBaseParameter
18:19:40 845	 start setSN
18:19:40 861	 start setSN
18:19:40 861	 start setSN
18:19:40 861	 start setSN
18:19:40 861	 start loadPinDef
18:19:40 876	 finished loadPinDef
18:19:40 876	 start loadPinDef
18:19:40 892	 finished loadPinDef
18:19:40 892	 start loadPinDef
18:19:40 908	 finished loadPinDef
18:19:40 908	 start loadPinDef
18:19:40 908	 finished loadPinDef
18:23:33 668	 start loadBaseParameter
18:23:34 074	 start loadBaseParameter
18:23:34 371	 start loadBaseParameter
18:23:34 668	 start loadBaseParameter
18:23:34 980	 start setSN
18:23:34 996	 start setSN
18:23:34 996	 start setSN
18:23:34 996	 start setSN
18:23:34 996	 start loadPinDef
18:23:35 011	 finished loadPinDef
18:23:35 011	 start loadPinDef
18:23:35 027	 finished loadPinDef
18:23:35 043	 start loadPinDef
18:23:35 043	 finished loadPinDef
18:23:35 043	 start loadPinDef
18:23:35 058	 finished loadPinDef
18:33:26 015	 start loadBaseParameter
18:33:26 421	 start loadBaseParameter
18:33:26 687	 start loadBaseParameter
18:33:26 983	 start loadBaseParameter
18:33:27 280	 start setSN
18:33:27 296	 start setSN
18:33:27 296	 start setSN
18:33:27 296	 start setSN
18:33:27 296	 start loadPinDef
18:33:27 312	 finished loadPinDef
18:33:27 312	 start loadPinDef
18:33:27 327	 finished loadPinDef
18:33:27 327	 start loadPinDef
18:33:27 343	 finished loadPinDef
18:33:27 343	 start loadPinDef
18:33:27 358	 finished loadPinDef
18:40:03 127	 start loadBaseParameter
18:40:03 533	 start loadBaseParameter
18:40:03 815	 start loadBaseParameter
18:40:04 112	 start loadBaseParameter
18:40:04 440	 start setSN
18:40:04 440	 start setSN
18:40:04 440	 start setSN
18:40:04 440	 start setSN
18:40:04 455	 start loadPinDef
18:40:04 471	 finished loadPinDef
18:40:04 471	 start loadPinDef
18:40:04 471	 finished loadPinDef
18:40:04 486	 start loadPinDef
18:40:04 486	 finished loadPinDef
18:40:04 502	 start loadPinDef
18:40:04 502	 finished loadPinDef
18:41:14 045	 start loadBaseParameter
18:41:14 451	 start loadBaseParameter
18:41:14 716	 start loadBaseParameter
18:41:15 013	 start loadBaseParameter
18:41:15 310	 start setSN
18:41:15 326	 start setSN
18:41:15 326	 start setSN
18:41:15 326	 start setSN
18:41:15 326	 start loadPinDef
18:41:15 341	 finished loadPinDef
18:41:15 341	 start loadPinDef
18:41:15 357	 finished loadPinDef
18:41:15 357	 start loadPinDef
18:41:15 373	 finished loadPinDef
18:41:15 373	 start loadPinDef
18:41:15 388	 finished loadPinDef
