22:06:35 936	 start loadBaseParameter
22:06:37 399	 start setSN
22:06:37 400	 start setSN
22:06:37 401	 start setSN
22:06:37 401	 start setSN
22:06:37 403	 start loadPinDef
22:06:37 406	 finished loadPinDef
22:06:37 410	 start loadPinDef
22:06:37 414	 finished loadPinDef
22:06:37 417	 start loadPinDef
22:06:37 421	 finished loadPinDef
22:06:37 424	 start loadPinDef
22:06:37 428	 finished loadPinDef
22:08:47 676	 start loadPinDef
22:08:47 680	 finished loadPinDef
22:08:47 683	 start setSN
22:08:47 684	start cam_stop 
22:08:47 786	finish cam_stop 
22:08:48 288	start cam_stop 
22:08:48 390	finish cam_stop 
22:08:48 390	 start Playnew
22:08:48 391	into cam_play:deviceID0 
22:08:48 391	openDevice:deviceID0 
22:08:48 515	开始sensor power:deviceID 0 
22:08:48 808	完成sensor power:deviceID 0 
22:08:48 819	完成Pin set:deviceID 0 
22:08:49 100	完成I2C set:deviceID 0 
22:08:49 220	SensorIsMe check failed:deviceID 0 
22:08:49 221	start cam_stop 
22:08:49 332	finish cam_stop 
22:08:49 533	 start Playnew
22:08:49 533	into cam_play:deviceID0 
22:08:49 534	openDevice:deviceID0 
22:08:49 665	开始sensor power:deviceID 0 
22:08:49 958	完成sensor power:deviceID 0 
22:08:49 969	完成Pin set:deviceID 0 
22:08:50 250	完成I2C set:deviceID 0 
22:08:50 371	SensorIsMe check failed:deviceID 0 
22:08:50 372	 1:start getImage
22:08:50 373	 2 getImage times:0
22:08:50 373	3  GrabFrame times:0,result=
22:08:50 425	 2 getImage times:1
22:08:50 425	3  GrabFrame times:1,result=
22:08:50 476	 2 getImage times:2
22:08:50 476	3  GrabFrame times:2,result=
22:08:50 530	 1:start getImage
22:08:50 530	 2 getImage times:0
22:08:50 531	3  GrabFrame times:0,result=
22:08:50 582	 2 getImage times:1
22:08:50 582	3  GrabFrame times:1,result=
22:08:50 634	 2 getImage times:2
22:08:50 634	3  GrabFrame times:2,result=
22:08:50 687	 1:start getImage
22:08:50 688	 2 getImage times:0
22:08:50 688	3  GrabFrame times:0,result=
22:08:50 740	 2 getImage times:1
22:08:50 740	3  GrabFrame times:1,result=
22:08:50 792	 2 getImage times:2
22:08:50 792	3  GrabFrame times:2,result=
22:08:50 845	 1:start getImage
22:08:50 846	 2 getImage times:0
22:08:50 846	3  GrabFrame times:0,result=
22:08:50 897	 2 getImage times:1
22:08:50 897	3  GrabFrame times:1,result=
22:08:50 949	 2 getImage times:2
22:08:50 949	3  GrabFrame times:2,result=
22:08:51 002	 1:start getImage
22:08:51 002	 2 getImage times:0
22:08:51 003	3  GrabFrame times:0,result=
22:08:51 054	 2 getImage times:1
22:08:51 054	3  GrabFrame times:1,result=
22:08:51 106	 2 getImage times:2
22:08:51 106	3  GrabFrame times:2,result=
22:08:51 157	 1:start getImage
22:08:51 157	 2 getImage times:0
22:08:51 158	3  GrabFrame times:0,result=
22:08:51 209	 2 getImage times:1
