15:41:04 238	 start loadBaseParameter
15:41:05 699	 start setSN
15:41:05 699	 start setSN
15:41:05 700	 start setSN
15:41:05 701	 start setSN
15:41:05 702	 start loadPinDef
15:41:05 705	 finished loadPinDef
15:41:05 709	 start loadPinDef
15:41:05 712	 finished loadPinDef
15:41:05 715	 start loadPinDef
15:41:05 719	 finished loadPinDef
15:41:05 723	 start loadPinDef
15:41:05 726	 finished loadPinDef
15:50:19 005	 start loadPinDef
15:50:19 009	 finished loadPinDef
15:50:19 012	 start setSN
15:50:19 013	start cam_stop 
15:50:19 138	finish cam_stop 
15:50:19 640	start cam_stop 
15:50:19 742	finish cam_stop 
15:50:19 742	 start Playnew
15:50:19 743	into cam_play:deviceID2 
15:50:19 744	openDevice:deviceID2 
15:50:19 868	开始sensor power:deviceID 2 
15:50:20 161	完成sensor power:deviceID 2 
15:50:20 172	完成Pin set:deviceID 2 
15:50:20 453	完成I2C set:deviceID 2 
15:50:20 570	start InitSensor :deviceID 2 
15:50:20 869	完成 InitSensor  :deviceID 2 
15:50:20 870	set image format  :deviceID 2 
15:50:20 898	start Video :deviceID 2 
15:50:20 910	malloc memory :deviceID 2 
15:50:20 912	 WriteI2C:34,0,998,0 
15:50:20 913	 write I2C 0x998
15:50:21 693	finished play :deviceID 2 
15:50:21 695	 1:start getImage
15:50:21 695	 2 getImage times:0
15:50:22 696	3  GrabFrame times:0,result=
15:50:22 747	 2 getImage times:1
15:50:23 747	3  GrabFrame times:1,result=
15:50:23 798	 2 getImage times:2
15:50:24 799	3  GrabFrame times:2,result=
15:50:24 852	 1:start getImage
15:50:24 852	 2 getImage times:0
15:50:25 853	3  GrabFrame times:0,result=
15:50:25 904	 2 getImage times:1
15:50:26 905	3  GrabFrame times:1,result=
15:50:26 956	 2 getImage times:2
15:50:27 956	3  GrabFrame times:2,result=
15:50:28 008	 1:start getImage
15:50:28 009	 2 getImage times:0
15:50:29 009	3  GrabFrame times:0,result=
15:50:29 060	 2 getImage times:1
15:50:30 061	3  GrabFrame times:1,result=
15:50:30 112	 2 getImage times:2
15:50:31 112	3  GrabFrame times:2,result=
15:50:31 164	 1:start getImage
15:50:31 165	 2 getImage times:0
15:50:32 166	3  GrabFrame times:0,result=
15:50:32 217	 2 getImage times:1
15:50:33 217	3  GrabFrame times:1,result=
15:50:33 268	 2 getImage times:2
15:50:34 268	3  GrabFrame times:2,result=
15:50:34 320	 1:start getImage
15:50:34 321	 2 getImage times:0
15:50:35 322	3  GrabFrame times:0,result=
15:50:35 373	 2 getImage times:1
15:50:36 373	3  GrabFrame times:1,result=
15:50:36 424	 2 getImage times:2
15:50:37 425	3  GrabFrame times:2,result=
15:50:37 477	 1:start getImage
15:50:37 478	 2 getImage times:0
15:50:38 478	3  GrabFrame times:0,result=
15:50:38 529	 2 getImage times:1
15:50:39 529	3  GrabFrame times:1,result=
15:50:39 580	 2 getImage times:2
15:50:40 581	3  GrabFrame times:2,result=
16:01:12 083	 start loadBaseParameter
16:01:13 529	 start setSN
16:01:13 530	 start setSN
16:01:13 530	 start setSN
16:01:13 531	 start setSN
16:01:13 532	 start loadPinDef
